timestamp,process_id,worker_id,label,release,batch,metric,value
2025-09-18T16:43:15.689000,62819,1,worker-1,2023-10-19,10,latency,8.663
2025-09-18T16:43:16.631000,62820,2,worker-2,2023-10-18,28,latency,7.838
2025-09-18T16:43:24.027000,62819,1,worker-1,2023-10-19,11,latency,8.337
2025-09-18T16:43:24.153000,62820,2,worker-2,2023-10-18,29,latency,7.522
2025-09-18T16:43:32.016000,62820,2,worker-2,2023-10-18,30,latency,7.862
2025-09-18T16:43:32.600000,62819,1,worker-1,2023-10-19,12,latency,8.572
2025-09-18T16:43:39.869000,62820,2,worker-2,2023-10-18,31,latency,7.853
2025-09-18T16:43:40.927000,62819,1,worker-1,2023-10-19,13,latency,8.328
2025-09-18T16:43:47.464000,62820,2,worker-2,2023-10-18,32,latency,7.594
2025-09-18T16:43:49.284000,62819,1,worker-1,2023-10-19,14,latency,8.357
2025-09-18T16:43:55.385000,62820,2,worker-2,2023-10-18,33,latency,7.921
2025-09-18T16:43:56.998000,62819,1,worker-1,2023-10-19,15,latency,7.713
2025-09-18T16:44:03.178000,62820,2,worker-2,2023-10-18,34,latency,7.793
2025-09-18T16:44:04.528000,62819,1,worker-1,2023-10-19,16,latency,7.530
2025-09-18T16:44:11.158000,62820,2,worker-2,2023-10-18,35,latency,7.979
2025-09-18T16:44:12.807000,62819,1,worker-1,2023-10-19,17,latency,8.279
2025-09-18T16:44:19.029000,62820,2,worker-2,2023-10-18,36,latency,7.871
2025-09-18T16:44:20.521000,62819,1,worker-1,2023-10-19,18,latency,7.714
2025-09-18T16:44:26.743000,62820,2,worker-2,2023-10-18,37,latency,7.713
2025-09-18T16:44:28.234000,62819,1,worker-1,2023-10-19,19,latency,7.713
2025-09-18T16:44:34.779000,62820,2,worker-2,2023-10-18,38,latency,8.036
2025-09-18T16:44:36.095000,62819,1,worker-1,2023-10-19,20,latency,7.860
2025-09-18T16:44:42.392000,62820,2,worker-2,2023-10-18,39,latency,7.613
